"","x"
"1",31
"2",103
"3",63
"4",16
"5",113
"6",43
"7",143
"8",16
"9",334
"10",734
"11",189
"12",18
"13",175
"14",64
"15",49
"16",169
"17",33
"18",130
"19",66
"20",209
"21",143
"22",293
"23",46
"24",77
"25",78
"26",121
"27",82
"28",193
"29",29
"30",46
"31",322
"32",125
"33",51
"34",683
"35",14
"36",68
"37",304
"38",328
"39",682
"40",403
"41",171
"42",94
"43",97
"44",74
"45",331
"46",49
"47",21
"48",335
"49",22
"50",397
"51",30
"52",114
"53",278
"54",27
"55",40
"56",19
"57",76
"58",64
"59",94
"60",154
"61",138
"62",280
"63",85
"64",121
"65",82
"66",16
"67",43
"68",258
"69",76
"70",179
"71",56
"72",182
"73",34
"74",0
"75",183
"76",119
"77",591
"78",175
"79",229
"80",158
"81",119
"82",34
"83",632
"84",41
"85",35
"86",323
"87",97
"88",36
"89",92
"90",33
"91",49
"92",26
"93",152
"94",377
"95",41
"96",51
"97",116
"98",189
"99",292
"100",85
"101",155
"102",388
"103",149
"104",135
"105",33
"106",51
"107",41
"108",32
"109",26
"110",334
"111",197
"112",49
"113",92
"114",344
"115",24
"116",112
"117",97
"118",190
"119",35
"120",21
"121",98
"122",68
"123",1
"124",54
"125",24
"126",204
"127",101
"128",111
"129",188
"130",20
"131",171
"132",84
"133",91
"134",97
"135",63
"136",89
"137",12
"138",73
"139",81
"140",85
"141",26
"142",79
"143",16
"144",43
"145",63
"146",171
"147",20
"148",10
"149",145
"150",236
"151",243
"152",285
"153",33
"154",89
"155",85
"156",111
"157",112
"158",36
"159",76
"160",34
"161",42
"162",103
"163",47
"164",35
"165",74
"166",111
"167",40
"168",55
"169",88
"170",80
"171",39
"172",111
"173",114
"174",13
"175",18
"176",191
"177",40
"178",99
"179",73
"180",124
"181",29
"182",91
"183",53
"184",120
"185",418
"186",229
"187",84
"188",132
"189",80
"190",24
"191",162
"192",46
"193",58
"194",385
"195",78
"196",51
"197",93
"198",231
"199",132
"200",355
"201",14
"202",270
"203",50
"204",143
"205",19
"206",329
"207",59
"208",81
"209",23
"210",66
"211",42
"212",414
"213",42
"214",28
"215",75
"216",49
"217",158
"218",38
"219",11
"220",139
"221",19
"222",245
"223",563
"224",230
"225",319
"226",96
"227",347
"228",36
"229",43
"230",53
"231",76
"232",133
"233",47
"234",97
"235",86
"236",58
"237",574
"238",190
"239",69
"240",45
"241",168
"242",26
"243",131
"244",65
"245",36
"246",76
"247",206
"248",111
"249",758
"250",12
"251",59
"252",581
"253",44
"254",55
"255",137
"256",31
"257",14
"258",91
"259",88
"260",264
"261",137
"262",13
"263",95
"264",451
"265",200
"266",103
"267",734
"268",112
"269",331
"270",50
"271",32
"272",89
"273",288
"274",140
"275",407
"276",44
"277",104
"278",29
"279",166
"280",32
"281",77
"282",120
"283",585
"284",34
"285",318
"286",356
"287",30
"288",40
"289",294
"290",155
"291",114
"292",29
"293",97
"294",11
"295",43
"296",14
"297",662
"298",100
"299",33
"300",178
"301",121
"302",56
"303",383
"304",69
"305",232
"306",293
"307",94
"308",96
"309",48
"310",49
"311",83
"312",48
"313",159
"314",36
"315",52
"316",231
"317",143
"318",10
"319",155
"320",15
"321",127
"322",38
"323",47
"324",45
"325",130
"326",19
"327",116
"328",34
"329",93
"330",192
"331",164
"332",51
"333",198
"334",24
"335",311
"336",112
"337",87
"338",276
"339",381
"340",210
"341",163
"342",59
"343",50
"344",85
"345",33
"346",24
"347",150
"348",10
"349",166
"350",257
"351",103
"352",195
"353",327
"354",352
"355",139
