"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,0,0,0,0,0
"2",0,2,3,0,1,3,0,9
"3",3,5,9,0,0,5,5,27
"4",0,2,6,0,0,4,4,16
"5",1,2,4,0,0,2,2,11
"6",1,0,5,0,0,5,0,11
"7",4,8,9,0,0,9,4,34
"8",1,1,10,0,0,3,8,23
"9",0,0,8,0,0,6,2,16
"10",1,0,2,0,0,4,0,7
"11",0,0,0,0,0,0,0,0
"12",0,0,3,0,0,4,1,8
"13",1,9,13,0,0,6,6,35
"14",0,0,1,0,0,1,0,2
"15",1,1,7,0,0,1,4,14
"16",0,3,9,0,0,0,1,13
"17",0,0,0,0,0,0,0,0
"18",0,0,3,0,0,3,4,10
"19",4,11,9,0,2,14,7,47
"20",0,0,5,0,1,6,2,14
"21",1,0,1,0,0,7,1,10
"22",0,1,3,0,2,0,1,7
"23",1,0,2,0,1,5,1,10
"24",0,0,8,0,0,0,3,11
"25",0,0,0,0,0,0,0,0
"26",0,0,1,0,0,2,1,4
"27",0,0,1,0,0,1,0,2
"28",3,0,1,0,0,9,1,14
"29",1,3,12,0,0,24,0,41
"30",1,10,29,3,1,8,12,65
"31",1,1,5,1,0,1,2,11
"32",0,0,3,0,0,0,0,3
"33",0,0,5,0,0,5,0,10
"34",1,3,6,0,0,19,6,35
"35",0,0,5,0,1,2,0,8
"36",0,0,4,0,0,1,1,6
"37",0,1,7,0,0,2,4,14
"38",0,1,5,0,0,7,4,17
"39",1,0,3,0,0,5,1,10
"40",0,0,6,0,0,2,1,9
"41",0,2,11,0,1,2,4,20
"42",0,1,3,0,2,0,1,7
"43",1,0,8,0,0,6,3,19
"44",1,0,11,0,0,5,6,23
"45",0,0,0,0,0,0,0,0
"46",0,0,3,0,0,0,0,3
"47",4,1,2,0,0,2,0,10
"48",0,0,2,1,0,5,1,10
"49",0,0,7,0,0,2,3,12
"50",3,1,12,0,1,8,10,35
"51",0,0,2,0,0,1,0,3
"52",0,2,2,0,1,0,0,5
"53",3,0,6,0,0,4,8,22
"54",0,1,5,0,1,5,1,13
"55",0,1,3,0,2,0,1,7
"56",0,0,1,0,0,2,3,6
"57",0,0,5,0,1,2,1,9
"58",1,1,4,0,0,0,1,7
"59",0,0,2,0,0,2,0,5
"60",0,1,1,0,0,2,0,4
"61",0,1,2,0,0,1,2,6
"62",4,10,11,0,1,14,7,47
"63",0,0,3,0,0,1,0,4
"64",1,2,13,0,0,9,1,26
"65",1,0,6,0,0,2,4,13
"66",0,0,1,0,0,0,0,1
"67",0,0,5,0,0,2,1,9
"68",4,1,8,0,1,5,12,31
"69",0,0,8,0,0,4,5,17
"70",2,1,1,0,0,0,1,5
"71",2,3,6,0,0,2,4,17
"72",0,0,7,0,0,0,2,9
"73",2,0,0,0,1,4,3,10
"74",0,0,15,0,0,7,1,23
"75",0,2,6,0,0,2,0,10
"76",1,2,2,0,0,3,5,13
"77",1,4,7,0,1,17,3,33
"78",0,0,2,0,0,1,1,4
"79",0,0,3,0,0,1,0,4
"80",3,1,8,0,0,13,3,28
"81",13,14,51,3,4,33,29,148
"82",0,2,1,0,0,2,0,5
"83",0,0,3,0,1,1,1,6
"84",1,2,4,0,0,8,0,17
"85",0,2,6,0,0,2,3,13
"86",1,10,8,0,0,4,5,28
"87",1,1,9,0,0,5,5,21
"88",0,0,4,0,1,4,2,11
"89",0,0,0,0,0,2,1,3
"90",1,1,6,0,0,1,2,11
