"","x"
"1",78
"2",98
"3",0
"4",21
"5",184
"6",150
"7",15
"8",96
"9",133
"10",260
"11",43
"12",48
"13",108
"14",124
"15",156
"16",25
"17",140
"18",474
"19",14
"20",535
"21",76
"22",491
"23",507
"24",182
"25",116
"26",420
"27",599
"28",178
"29",48
"30",336
"31",178
"32",214
"33",96
"34",357
"35",245
"36",362
"37",101
"38",514
"39",242
"40",590
"41",167
"42",245
"43",856
"44",127
"45",85
"46",703
"47",495
"48",202
"49",138
"50",36
"51",206
"52",219
"53",116
"54",99
"55",156
"56",36
"57",1847
"58",450
"59",67
"60",122
"61",115
"62",154
"63",192
"64",57
"65",16
"66",57
"67",109
"68",188
"69",535
"70",511
"71",198
"72",32
"73",54
"74",196
"75",885
"76",104
"77",78
"78",8
"79",549
"80",250
"81",132
"82",931
"83",226
"84",153
"85",28
"86",72
"87",168
"88",796
"89",64
"90",79
"91",26
"92",92
"93",154
"94",65
"95",332
"96",234
"97",112
"98",66
"99",423
"100",39
"101",66
"102",108
"103",76
"104",11
"105",507
"106",146
"107",46
"108",449
"109",186
"110",78
"111",120
"112",224
"113",53
"114",172
"115",103
"116",160
"117",81
"118",516
"119",79
"120",444
"121",57
"122",565
"123",205
"124",533
"125",341
"126",116
"127",517
"128",25
"129",60
"130",312
"131",148
"132",52
"133",68
"134",82
"135",96
"136",2
"137",185
"138",0
"139",174
"140",68
"141",117
"142",508
"143",50
"144",453
"145",150
"146",149
"147",156
"148",147
"149",107
"150",302
"151",63
"152",106
"153",255
"154",173
"155",10
"156",83
"157",140
"158",88
"159",61
"160",829
"161",2
"162",73
"163",48
"164",121
"165",39
"166",621
"167",125
"168",161
"169",310
"170",131
"171",106
"172",273
"173",18
"174",25
"175",190
"176",33
"177",42
"178",34
"179",101
"180",157
"181",81
"182",24
"183",223
"184",87
"185",166
"186",249
"187",570
"188",831
"189",68
"190",541
"191",684
"192",225
"193",156
"194",100
"195",371
"196",59
"197",241
"198",201
"199",154
"200",137
"201",114
"202",691
"203",60
"204",219
"205",207
"206",169
"207",139
"208",63
"209",70
"210",267
"211",69
"212",358
"213",733
"214",31
"215",367
"216",197
"217",353
"218",132
"219",320
"220",113
"221",116
"222",33
"223",162
"224",131
"225",829
"226",671
"227",163
"228",120
"229",56
"230",106
"231",72
"232",71
"233",564
"234",752
"235",162
"236",172
"237",90
"238",7
"239",159
"240",63
"241",322
"242",464
"243",135
"244",242
"245",253
"246",182
"247",57
"248",768
"249",22
"250",58
"251",26
"252",1315
"253",162
"254",474
"255",461
"256",473
"257",210
"258",357
"259",146
"260",112
"261",188
"262",199
